lon;lat;place
-87.7294316;30.3154785;Bon Secour Bay, USA
11.58;58.25;Koljo Fjord, Sweden
-66.1920943;17.9462376;Jobos Bay, Puerto Rico
-7.8196096;37.0340445;Ria Formosa, Portugal
3.55;51.4;Westerschelde Estuary, Netherlands
128.58;35;Chinhae Bay, Korea
3.9;43.5;Prevost Lagoon, France
-0.8613115;45.4277408;Gironde Estuary, France
-51.25;-31.1;Patos Lagoon, Brazil
115.7342997;-33.2499879;Harvey Estuary, Australia
15.9724838;43.8666017;Krka Estuary, Croatia
-68.309263;10.8670531;Moroccoy National Park, Venezuela
-98.61;28.58;Lavaca & Chocolate Bay, USA
-90.065918;25.304304;Northern Gulf of Mexico
-95.3769428;28.9171007;Bryan Mound, USA
-117.8371781;33.5740021;Baffin Bay, USA
-78.7872351;33.7964394;Long Bay, USA
-75.8533954;35.3825787;Pamlico Sound, USA
-77.8585244;34.1956411;Hewletts Creek, USA
-77.7634701;34.3017849;Futch Creek, USA
-78.5071908;34.7377116;Cape Fear River, USA
-73.2765361;40.2164079;New York Bight, USA
-73.92;40.59;Shellbank Basin, USA
-71.0556107;42.3109612;Dorchester Bay, USA
-70.618087;41.7453829;Buzzards Bay, USA
-69.8;44.03;Kennebec and Androscoggin Rivers, USA
-120.5101643;37.4383158;San Joaquin River, USA
-90.1120696;30.205062;Lake Pontchartrain, USA
-122.3107517;37.6909682;North San Francisco Bay Estuary, USA
-110.6735079;32.1030775;Coyote Creek, USA
-102.4342115;47.736992;Tampa Bay, USA
-81.406886;24.661788;Looe Key, USA
-71.9223504;43.2416014;Connecticut River, USA
-82.0670333;26.9583937;Charlotte Harbor, USA
-118.1937395;33.7700504;Alamitos Bay, USA
100.1255164;8.310749;Pak Phanang, Thailand
11.5661122;58.3435295;Gullmarsfjord, Sweden
-5.665676;56.878871;Loch Ailort, Scotland
121.2754524;14.1787566;Manila Bay, Philippines
-76.2768755;-13.8206347;Paracas Bay, Peru
174.8028455;-36.2803191;Cape Rodney, New Zealand
6.9495078;53.5786884;Wadden Sea
-17.0;20.0;Mauritania Coast, Mauritania
-8.5;54.533333;Donegal Bay, Ireland
14.332644;40.901975;Schönberger Strand, Germany
9.5861414;47.6594374;Hohwacht Bay, Germany
2.6151;47.175909;Bay of Vilaine, France
-4.5152327;50.8298411;Bude Bay, United Kingdom
-76.1050092;37.5213728;Chesapeake Bay, USA
125.9152074;30.3953462;East China Sea
-43.1544605;-22.8115667;Guanabara Bay, Brazil
139.8956943;35.553888;Tokyo Bay, Japan
1.626944;50.201389;Bay of Somme (Baie de Somme), France
23.7936244;57.3909752;Gulf of Riga
3.515625;56.511018;North Sea
11.4;53.9;Wismar Bay, Baltic Sea
19.863281;58.487952;Baltic Sea - eutrophication
11.0;55.5;Baltic Sea - pelagic food web
37.822041;-4.358983;Makanya catchment, Tanzania
46.3432781;-9.4236984;Aldabra atoll, Seychelles
-77.297508;18.109581;Jamaican coral reefs
-89.4206079;43.109671;Lake Mendota, Wisconsin, USA
115.260830;-8.513950;Balinese rice production
-77.885469;2.571287;Tropical lowland forests (economic use), Colombia
7.103640;13.500978;Maradi Agro-ecosystem
